anio,mes,origen,destino,producto,toneladas,precio
2018,Abril,Santander,México,Café,36.57,112.75
2018,Abril,Tolima,México,Café,17.5,56.92
2018,Abril,Antioquia,Noruega,Café,41.99,135.93
2018,Abril,Caldas,Noruega,Café,59.86,211.16
2018,Abril,Cauca,Noruega,Café,249.82000000000002,793.8100000000001
2018,Abril,Huila,Noruega,Café,243.32,751.16
2018,Abril,Risaralda,Noruega,Café,315.14,975.57
2018,Abril,Valle del Cauca,Noruega,Café,58.69,193.93
2018,Abril,Antioquia,Nueva Zelandia,Café,23.15,75.66
2018,Abril,Caldas,Nueva Zelandia,Café,17.57,61.2
2018,Abril,Cauca,Nueva Zelandia,Café,38.72,136.33
2018,Abril,Quindío,Nueva Zelandia,Café,19.28,56.77
2018,Abril,Risaralda,Nueva Zelandia,Café,17.08,51.21
2018,Abril,Valle del Cauca,Nueva Zelandia,Café,2.17,6.5
2018,Abril,Caldas,Países Bajos,Café,104.81,334.56
2018,Abril,Huila,Países Bajos,Café,19.89,70.15
2018,Abril,Quindío,Países Bajos,Café,63.04,196.41
2018,Abril,Tolima,Países Bajos,Café,21.02,71.5
2018,Abril,Valle del Cauca,Países Bajos,Café,78.34,348.44
2018,Abril,Antioquia,Panamá,Café,36.39,181.57999999999998
2018,Abril,Caldas,Perú,Café,41.78,488.19
2018,Abril,Valle del Cauca,Perú,Café,36.31,314.68
2018,Abril,Antioquia,Polonia,Café,19.27,60.34
2018,Abril,Antioquia,Reino Unido,Café,513.74,1634.5800000000002
2018,Abril,Caldas,Reino Unido,Café,440.28000000000003,1623.78
2018,Abril,Cauca,Reino Unido,Café,19.63,63.01
2018,Abril,Cundinamarca,Reino Unido,Café,21.1,68.56
2018,Abril,Huila,Reino Unido,Café,58.230000000000004,189.45
2018,Abril,Quindío,Reino Unido,Café,299.65999999999997,1506.71
2018,Abril,Risaralda,Reino Unido,Café,115.21000000000001,375.22
2018,Abril,Valle del Cauca,Reino Unido,Café,19.19,71.83
2018,Abril,Caldas,Rumania,Café,111.88,344.98
2018,Abril,Cauca,Rumania,Café,39.98,125.34
2018,Abril,Caldas,Rusia   ,Café,160.93,1158.11
2018,Abril,Huila,Rusia   ,Café,57.68,175.81
2018,Abril,Quindío,Rusia   ,Café,41.96,123.49
